user_id,timestep,dryness,acne,sensitivity,oiliness,product_name,brand,label,product_rating,reward
0,0,0.64,0.03,0.28,0.22,Overnight Miracle Mask,SK-II,Face Mask,3.8,1.0
0,1,0.58,0.0,0.24,0.16,Sunless Tan Anti-Aging Face Serum,COOLA,Treatment,4.3,1.0
0,2,0.52,0.0,0.2,0.1,Micro Polish Cleanser,REN CLEAN SKINCARE,Cleanser,4.5,0.846
0,3,0.49,0.0,0.15,0.02,Micellar Cleansing Water & Milk - Pomegranate,SEPHORA COLLECTION,Cleanser,4.2,1.0
0,4,0.44,0.0,0.1,0.0,Glycol Lactic Radiance Renewal Mask,REN CLEAN SKINCARE,Face Mask,4.4,1.0
0,5,0.38,0.0,0.06,0.0,Rénergie Lift Multi-Action Sunscreen Broad Spectrum SPF 15 For All Skin Types,LANCÔME,Moisturizer,3.9,1.0
0,6,0.32,0.0,0.0,0.0,Even Better Clinical Dark Spot Corrector & Optimizer,CLINIQUE,Treatment,3.1,0.791
0,7,0.26,0.0,0.0,0.0,Advanced Night Repair Concentrated Recovery Eye Mask,ESTÉE LAUDER,Face Mask,3.3,0.815
0,8,0.21,0.0,0.0,0.0,Renewed Hope in A Jar Overnight Recharging & Refining Moisturizer,PHILOSOPHY,Moisturizer,4.4,1.0
0,9,0.15,0.0,0.0,0.0,Capture Totale Dreamskin 1-Minute Mask,DIOR,Face Mask,3.8,0.951
1,0,0.65,0.54,0.22,0.59,Perfecting Day Cream Broad Spectrum SPF 30 PA+++,MURAD,Sun protect,4.2,0.858
1,1,0.61,0.52,0.19,0.55,Protein Booster Skin Serum,JACK BLACK,Treatment,4.7,1.0
1,2,0.57,0.48,0.17,0.52,Smart Broad Spectrum SPF 15 Custom-Repair Moisturizer for Very Dry to Dry Skin,CLINIQUE,Sun protect,4.4,0.841
1,3,0.52,0.46,0.13,0.49,Advanced Night Repair Eye Serum Synchronized Complex II,ESTÉE LAUDER,Eye cream,3.5,0.964
1,4,0.47,0.4,0.11,0.41,Modern Friction™ Cleansing Oil with Radiance-Boosting White & Purple Rice,ORIGINS,Cleanser,4.5,1.0
1,5,0.4,0.38,0.05,0.37,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,TARTE,Moisturizer,4.3,1.0
1,6,0.36,0.36,0.01,0.32,Super Fluid Daily UV Defense Sunscreen Broad Spectrum SPF 50+,KIEHL'S SINCE 1851,Sun protect,4.4,1.0
1,7,0.3,0.31,0.0,0.28,T.L.C. Framboos™ Glycolic Night Serum,DRUNK ELEPHANT,Cleanser,4.3,1.0
1,8,0.27,0.27,0.0,0.24,MOISTURE BOUND Refreshing Hydra-Gel Oil-Free,AMOREPACIFIC,Moisturizer,4.2,1.0
1,9,0.19,0.19,0.0,0.17,Classic Face Sport SPF 50 - White Tea,COOLA,Sun protect,3.9,0.987
2,0,0.85,0.6,0.81,0.73,Squalane + Vitamin C Rose Oil,BIOSSANCE,Moisturizer,4.4,1.0
2,1,0.79,0.53,0.75,0.67,Mineral Crème Broad Spectrum SPF 50 UVA-UVB Sunscreen,MDSOLARSCIENCES,Sun protect,4.3,1.0
2,2,0.69,0.47,0.68,0.61,Acne Solutions Clarifying Lotion,CLINIQUE,Cleanser,4.4,0.803
2,3,0.66,0.45,0.65,0.58,PRE:EMPT SERIES™ Exfoliating Pore Refiner,PERRICONE MD,Cleanser,4.5,0.779
2,4,0.62,0.42,0.62,0.56,Midnight Recovery Concentrate,KIEHL'S SINCE 1851,Moisturizer,4.4,1.0
2,5,0.55,0.38,0.54,0.51,BUBBLESHEET™ Oxygenating Deep Cleanse Mask,GLAMGLOW,Cleanser,4.3,1.0
2,6,0.46,0.31,0.51,0.47,Photo Finish Primer Water,SMASHBOX,Moisturizer,4.1,1.0
2,7,0.38,0.3,0.48,0.39,Hungarian Thermal Water Mineral-Rich Atomic Heat Mask,PETER THOMAS ROTH,Face Mask,4.0,0.946
2,8,0.34,0.24,0.43,0.36,Foundation Primer Protect Broad Spectrum SPF 30 Sunscreen PA+++,LAURA MERCIER,Sun protect,4.1,0.852
2,9,0.29,0.24,0.39,0.31,Water Replenishment Cotton Sheet Mask,DR. JART+,Face Mask,4.6,1.0
3,0,0.23,0.29,0.08,0.23,Pore Corrector Anti-Aging Primer,ALGENIST,Treatment,4.4,1.0
3,1,0.17,0.21,0.06,0.17,Whipped Argan Oil Face Butter,JOSIE MARAN,Moisturizer,4.1,1.0
3,2,0.11,0.19,0.02,0.12,CoQ-10 Toner,INDIE LEE,Cleanser,4.4,1.0
3,3,0.07,0.14,0.0,0.06,Vintage Single Extract Essence,AMOREPACIFIC,Moisturizer,4.5,1.0
3,4,0.02,0.05,0.0,0.05,Luminous Deep Hydration Lifting Mask,TATCHA,Face Mask,4.5,1.0
3,5,0.0,0.0,0.0,0.0,Honey Savior All-in-One Skin Repair Salve with Echinacea GreenEnvy™ Honey,FARMACY,Moisturizer,4.5,1.0
3,6,0.0,0.0,0.0,0.0,Ready Steady Glow Daily AHA Tonic,REN CLEAN SKINCARE,Cleanser,4.4,1.0
3,7,0.0,0.0,0.0,0.0,Treatment Lotion Hydrating Mask,LA MER,Face Mask,4.1,0.984
3,8,0.0,0.0,0.0,0.0,Pumpkin Sleeping Pack,TOO COOL FOR SCHOOL,Face Mask,4.3,0.968
3,9,0.0,0.0,0.0,0.0,Quick Dry Body Spray With SolSci-X™ Broad Spectrum SPF 40 UVA-UVB Sunscreen,MDSOLARSCIENCES,Sun protect,3.9,1.0
4,0,0.17,0.73,0.16,0.38,Invisiblur™ Perfecting Shield Broad Spectrum SPF 30 PA+++,MURAD,Treatment,3.9,0.97
4,1,0.13,0.67,0.11,0.34,Advanced Génifique Yeux Light-Pearl™ Eye Illuminator Youth Activating Concentrate,LANCÔME,Eye cream,3.6,0.877
4,2,0.09,0.6,0.11,0.28,Capture Youth Age-Delay Advanced Crème,DIOR,Moisturizer,3.9,1.0
4,3,0.05,0.53,0.06,0.2,White Lucent MicroTargeting Spot Corrector,SHISEIDO,Treatment,3.4,0.929
4,4,0.0,0.49,0.0,0.15,#GLITTERMASK GRAVITYMUD™ Firming Treatment,GLAMGLOW,Face Mask,4.3,1.0
4,5,0.0,0.44,0.0,0.1,City Skin Age Defense Broad Spectrum SPF 50 PA++++,MURAD,Sun protect,4.7,0.926
4,6,0.0,0.41,0.0,0.05,Zero Baggage Anti-Dark Circle Eye Cream,NATURALLY SERIOUS,Eye cream,3.3,0.775
4,7,0.0,0.33,0.0,0.01,pores no more® multi-performance stick,DR. BRANDT SKINCARE,Sun protect,3.6,0.891
4,8,0.0,0.28,0.0,0.0,Micellar Cleansing Water & Milk - Pomegranate,SEPHORA COLLECTION,Cleanser,4.2,1.0
4,9,0.0,0.22,0.0,0.0,Day Cream Broad Spectrum Sunscreen SPF 30,ANTHONY,Sun protect,4.0,1.0
5,0,0.21,0.94,0.88,0.31,Clear Improvement® Active Charcoal Mask to Clear Pores,ORIGINS,Face Mask,4.3,1.0
5,1,0.17,0.91,0.85,0.28,Superfood Peptide Eye Cream,YOUTH TO THE PEOPLE,Eye cream,4.0,0.724
5,2,0.15,0.85,0.75,0.29,Purity Made Simple One-Step Facial Cleansing Cloths,PHILOSOPHY,Cleanser,3.9,0.853
5,3,0.12,0.77,0.69,0.24,Hydro Biotic™ Recovery Sleeping Mask,DR. BRANDT SKINCARE,Face Mask,4.6,1.0
5,4,0.05,0.74,0.65,0.2,Dr. Andrew Weil For Origins™ Mega-Mushroom Relief & Resilience Soothing Treatment Lotion,ORIGINS,Moisturizer,4.4,1.0
5,5,0.0,0.69,0.6,0.18,Turmeric & Cranberry Seed Energizing Radiance Mask,KIEHL'S SINCE 1851,Face Mask,4.5,1.0
5,6,0.0,0.66,0.55,0.16,Time Freeze Sleeping Mask,LANEIGE,Face Mask,4.3,1.0
5,7,0.0,0.62,0.47,0.08,Clear Skin Lover Rubber Mask,DR. JART+,Face Mask,4.2,1.0
5,8,0.0,0.57,0.4,0.02,GLAMGLOW x MY LITTLE PONY® #GLITTERMASK GRAVITYMUD™ Firming Treatment,GLAMGLOW,Face Mask,3.9,1.0
5,9,0.0,0.54,0.34,0.0,Hello FAB Kona Eye Stick,FIRST AID BEAUTY,Eye cream,3.7,0.907
6,0,0.4,0.22,1.0,0.51,Bye Bye Makeup™ 3-in-1 Makeup Melting Cleansing Balm,IT COSMETICS,Cleanser,4.5,0.863
6,1,0.35,0.19,0.94,0.46,Advanced Anti-Aging Eye Cream Broad Spectrum Sunscreen SPF 37,SUPERGOOP!,Eye cream,3.8,0.993
6,2,0.29,0.16,0.89,0.4,Mask-Imum Revival Hydra-Plumping Mask,NATURALLY SERIOUS,Face Mask,4.5,0.733
6,3,0.26,0.13,0.82,0.38,Make-Up Removing Cleansing Oil,CAUDALIE,Cleanser,4.4,0.755
6,4,0.21,0.11,0.78,0.4,Pro Light Self Tan Bronzing Mist,ST. TROPEZ TANNING ESSENTIALS,Sun protect,1.0,-0.088
6,5,0.22,0.13,0.78,0.39,Sport Continuous Spray SPF 50 - Guava Mango,COOLA,Sun protect,4.1,1.0
6,6,0.15,0.11,0.73,0.35,Detoxifying Black Charcoal Cleanser,BOSCIA,Cleanser,4.3,1.0
6,7,0.08,0.06,0.66,0.28,Treatment Enzyme Peel,AMOREPACIFIC,Cleanser,4.7,0.768
6,8,0.04,0.02,0.59,0.23,The Moisturizing Soft Cream,LA MER,Moisturizer,3.8,0.934
6,9,0.0,0.0,0.55,0.18,Cilantro & Orange Extract Pollutant Defending Mask,KIEHL'S SINCE 1851,Face Mask,4.1,1.0
7,0,0.97,0.86,0.01,0.72,Exfoliating Peel Gel,BOSCIA,Cleanser,4.1,0.983
7,1,0.92,0.85,0.0,0.66,Water Sleeping Mask,LANEIGE,Moisturizer,4.4,1.0
